date,total_pnl,n_trades,total_volume,sentiment_value,classification,sentiment_value_lag1
2025-02-24,38470.176242,5616,11223619.59,49.0,Neutral,50.0
2025-02-25,204762.177034,6246,19414984.36,25.0,Fear,49.0
2025-02-26,63229.063129,1176,4946958.13,21.0,Extreme Fear,25.0
2025-02-27,-36525.167517,890,1999898.43,10.0,Extreme Fear,21.0
2025-02-28,225628.108748,1019,4123660.77,16.0,Extreme Fear,10.0
2025-03-01,10596.108968,174,263824.13,20.0,Extreme Fear,16.0
2025-03-02,66914.320708,532,6460848.74,26.0,Fear,20.0
2025-03-03,616413.032233,1482,8244590.38,33.0,Fear,26.0
2025-03-04,182075.566585,2402,11124247.15,15.0,Extreme Fear,33.0
2025-03-05,269328.365917,1660,9193654.22,20.0,Extreme Fear,15.0
2025-03-06,16101.125561,760,6765324.96,25.0,Fear,20.0
2025-03-07,150236.061627,2552,19854275.48,34.0,Fear,25.0
2025-03-08,24700.773359,529,892083.51,28.0,Fear,34.0
2025-03-09,19773.457395,1422,10419697.99,27.0,Fear,28.0
2025-03-10,-10010.027269999999,2911,16811790.68,20.0,Extreme Fear,27.0
2025-03-11,-76880.729036,3286,14016952.09,24.0,Extreme Fear,20.0
2025-03-12,288105.984215,3968,18618139.15,34.0,Fear,24.0
2025-03-13,14114.870873,962,3285591.22,45.0,Neutral,34.0
2025-03-14,68646.160089,2210,8047187.16,27.0,Fear,45.0
2025-03-15,78694.624572,261,2355749.54,46.0,Neutral,27.0
2025-03-16,-7910.943544999999,530,10187921.51,30.0,Fear,46.0
2025-03-17,26163.906513,920,3592895.05,32.0,Fear,30.0
2025-03-18,72322.788824,834,4050655.47,34.0,Fear,32.0
2025-03-19,29374.682341,1612,4598813.57,32.0,Fear,34.0
2025-03-20,10246.859436,771,1652257.93,49.0,Neutral,32.0
2025-03-21,6951.270374,698,2543903.39,31.0,Fear,49.0
2025-03-22,12498.535254,535,971809.42,32.0,Fear,31.0
2025-03-23,14047.421585,447,2593519.67,30.0,Fear,32.0
2025-03-24,107878.961301,1027,3017587.05,45.0,Neutral,30.0
2025-03-25,32030.90678,791,5372519.77,46.0,Neutral,45.0
2025-03-26,15802.167427,3102,7597754.37,47.0,Neutral,46.0
2025-03-27,58825.359221,785,3240279.46,40.0,Fear,47.0
2025-03-28,21337.179335,728,1483092.61,44.0,Fear,40.0
2025-03-29,12098.872931,1894,3668151.83,26.0,Fear,44.0
2025-03-30,15795.11514,568,2850874.96,32.0,Fear,26.0
2025-03-31,6978.184557,495,2164772.4699999997,34.0,Fear,32.0
2025-04-01,-2202.6622420000003,192,704445.1900000001,34.0,Fear,34.0
2025-04-02,202212.740938,1076,3867930.6,44.0,Fear,34.0
2025-04-03,-2365.961276,1748,8670233.15,25.0,Fear,44.0
2025-04-04,-25515.678949999998,1272,3835545.73,28.0,Fear,25.0
2025-04-05,35907.33771,360,1267564.22,30.0,Fear,28.0
2025-04-06,47053.449272,1048,3551252.06,34.0,Fear,30.0
2025-04-07,34527.370305,2814,14460253.14,23.0,Extreme Fear,34.0
2025-04-08,34899.394798,943,8869391.4,24.0,Extreme Fear,23.0
2025-04-09,43120.444797,3967,28556806.47,18.0,Extreme Fear,24.0
2025-04-10,158261.822261,2127,28741953.29,39.0,Fear,18.0
2025-04-11,126406.479081,1096,11319327.07,25.0,Fear,39.0
2025-04-12,410419.694533,2109,55914617.49,43.0,Fear,25.0
2025-04-13,48696.021521,1321,14171154.79,45.0,Neutral,43.0
2025-04-14,45680.443063,890,13079972.98,31.0,Fear,45.0
2025-04-15,72357.706282,1131,20752168.24,38.0,Fear,31.0
2025-04-16,58631.730257,1608,36502715.9,29.0,Fear,38.0
2025-04-17,5427.919886,1031,2604551.51,30.0,Fear,29.0
2025-04-18,4880.4047439999995,1894,24610650.46,33.0,Fear,30.0
2025-04-19,71950.577495,2786,32706462.71,32.0,Fear,33.0
2025-04-20,25060.341936,1982,12126094.05,37.0,Fear,32.0
2025-04-21,34369.267906999994,1718,42104054.84,39.0,Fear,37.0
2025-04-22,58652.763578,2998,33753625.24,47.0,Neutral,39.0
2025-04-23,-419020.225731,6159,30682443.79,72.0,Greed,47.0
2025-04-24,50704.395965,2232,35088918.64,63.0,Greed,72.0
2025-04-25,20218.859206,1653,27749455.78,60.0,Greed,63.0
2025-04-26,-4125.753942,1131,11948127.77,65.0,Greed,60.0
2025-04-27,2702.067468,337,487537.69,61.0,Greed,65.0
2025-04-28,36906.813759,1379,26124921.49,54.0,Neutral,61.0
2025-04-29,125749.613427,2243,34089511.66,60.0,Greed,54.0
2025-04-30,14003.797269,1113,12693878.85,56.0,Greed,60.0
2025-05-01,54536.829297000004,1230,10720240.52,53.0,Neutral,56.0
